0,0,3.1385
0,10,14.513
0,20,18.282
0,30,20.603
0,40,22.64
0,50,25
0,60,29.955
0,70,33.11
0,80,35.666
0,90,38.277
0,100,41.665
10,0,8.0207
10,10,14.322
10,20,18.008
10,30,20.29
10,40,22.273
10,50,25
10,60,29.955
10,70,33.11
10,80,35.666
10,90,38.277
10,100,41.72
20,0,10.014
20,10,14.866
20,20,17.332
20,30,19.497
20,40,21.945
20,50,25
20,60,30.495
20,70,33.11
20,80,35.666
20,90,37.982
20,100,41.856
30,0,10.993
30,10,15.154
30,20,17.366
30,30,19.497
30,40,21.945
30,50,25
30,60,30.495
30,70,33.11
30,80,35.666
30,90,37.982
30,100,41.856
40,0,11.484
40,10,15.321
40,20,17.994
40,30,20.189
40,40,22.273
40,50,25
40,60,29.955
40,70,33.11
40,80,35.666
40,90,38.277
40,100,41.72
50,0,11.67
50,10,15.582
50,20,18.274
50,30,20.495
50,40,22.622
50,50,25
50,60,29.955
50,70,33.11
50,80,35.666
50,90,38.277
50,100,41.665
60,0,15.582
60,10,22.323
60,20,24.004
60,30,25.675
60,40,27.522
60,50,29.955
60,60,30.667
60,70,33.685
60,80,36.172
60,90,38.746
60,100,42.179
70,0,18.274
70,10,24.004
70,20,27.192
70,30,28.547
70,40,30.587
70,50,33.11
70,60,33.685
70,70,35.028
70,80,37.344
70,90,39.715
70,100,43.499
80,0,20.495
80,10,25.675
80,20,28.547
80,30,30.746
80,40,32.964
80,50,35.666
80,60,36.172
80,70,37.344
80,80,38.43
80,90,41.172
80,100,45.612
90,0,22.622
90,10,27.522
90,20,30.587
90,30,32.964
90,40,35.214
90,50,38.277
90,60,38.746
90,70,39.715
90,80,41.172
90,90,43.131
90,100,48.726
100,0,25
100,10,29.955
100,20,33.11
100,30,35.666
100,40,38.277
100,50,41.665
100,60,42.179
100,70,43.499
100,80,45.612
100,90,48.726
100,100,53.531
