0;0;0.50000
0;10;5.00000
0;20;9.50000
0;30;14.00000
0;40;18.50000
0;50;23.00000
0;60;26.80000
0;70;30.60000
0;80;34.40000
0;90;38.20000
0;100;42.00000
10;0;2.40000
10;10;6.64000
10;20;10.88000
10;30;15.12000
10;40;19.36000
10;50;23.60000
10;60;27.28000
10;70;30.96000
10;80;34.64000
10;90;38.32000
10;100;42.00000
20;0;4.30000
20;10;8.28000
20;20;12.26000
20;30;16.24000
20;40;20.22000
20;50;24.20000
20;60;27.76000
20;70;31.32000
20;80;34.88000
20;90;38.44000
20;100;42.00000
30;0;6.20000
30;10;9.92000
30;20;13.64000
30;30;17.36000
30;40;21.08000
30;50;24.80000
30;60;28.24000
30;70;31.68000
30;80;35.12000
30;90;38.56000
30;100;42.00000
40;0;8.10000
40;10;11.56000
40;20;15.02000
40;30;18.48000
40;40;21.94000
40;50;25.40000
40;60;28.72000
40;70;32.04000
40;80;35.36000
40;90;38.68000
40;100;42.00000
50;0;10.00000
50;10;13.20000
50;20;16.40000
50;30;19.60000
50;40;22.80000
50;50;26.00000
50;60;29.20000
50;70;32.40000
50;80;35.60000
50;90;38.80000
50;100;42.00000
60;0;13.40000
60;10;16.52000
60;20;19.64000
60;30;22.76000
60;40;25.88000
60;50;29.00000
60;60;32.32000
60;70;35.64000
60;80;38.96000
60;90;42.28000
60;100;45.60000
70;0;16.80000
70;10;19.84000
70;20;22.88000
70;30;25.92000
70;40;28.96000
70;50;32.00000
70;60;35.44000
70;70;38.88000
70;80;42.32000
70;90;45.76000
70;100;49.20000
80;0;20.20000
80;10;23.16000
80;20;26.12000
80;30;29.08000
80;40;32.04000
80;50;35.00000
80;60;38.56000
80;70;42.12000
80;80;45.68000
80;90;49.24000
80;100;52.80000
90;0;23.60000
90;10;26.48000
90;20;29.36000
90;30;32.24000
90;40;35.12000
90;50;38.00000
90;60;41.68000
90;70;45.36000
90;80;49.04000
90;90;52.72000
90;100;56.40000
100;0;27.00000
100;10;29.80000
100;20;32.60000
100;30;35.40000
100;40;38.20000
100;50;41.00000
100;60;44.80000
100;70;48.60000
100;80;52.40000
100;90;56.20000
100;100;60.00000
